"Ward","category","n","disciplined","sustained","open","unknown","sd_plus"
1,"Arrest/Lock-up Procedures",117,3,1,0,8,0.036697247706422
1,"Bribery / Official Corruption",1,0,0,0,0,0
1,"Conduct Unbecoming (Off-duty)",12,0,1,0,1,0.0909090909090909
1,"Criminal Misconduct",1,0,0,0,0,0
1,"Drug/Substance Abuse",1,0,0,0,0,0
1,"First Amendment and Illegal Arrest",119,0,0,0,13,0
1,"Operation/Personnel Violations",208,3,3,1,23,0.0326086956521739
1,"Search-Related",46,5,2,0,4,0.166666666666667
1,"Traffic",16,0,0,0,0,0
1,"Verbal Abuse",14,0,0,0,0,0
2,"Alcohol Abuse",5,1,2,0,1,0.75
2,"Arrest/Lock-up Procedures",237,5,3,0,15,0.036036036036036
2,"Bribery / Official Corruption",2,1,1,0,0,1
2,"Conduct Unbecoming (Off-duty)",47,9,8,4,8,0.485714285714286
2,"Criminal Misconduct",4,1,1,0,1,0.666666666666667
2,"Drug/Substance Abuse",3,0,0,0,2,0
2,"First Amendment and Illegal Arrest",272,0,0,3,18,0
2,"Operation/Personnel Violations",473,19,19,5,38,0.0883720930232558
2,"Search-Related",99,2,0,0,11,0.0227272727272727
2,"Supervisory Responsibilities",4,0,0,0,0,0
2,"Traffic",32,0,2,0,1,0.0645161290322581
2,"Verbal Abuse",24,1,0,0,8,0.0625
3,"Alcohol Abuse",17,12,1,2,1,0.928571428571429
3,"Arrest/Lock-up Procedures",242,2,1,0,7,0.0127659574468085
3,"Bribery / Official Corruption",6,1,0,0,0,0.166666666666667
3,"Conduct Unbecoming (Off-duty)",44,13,7,3,4,0.540540540540541
3,"Criminal Misconduct",4,1,0,0,1,0.333333333333333
3,"Drug/Substance Abuse",15,1,6,0,2,0.538461538461538
3,"First Amendment and Illegal Arrest",456,0,0,2,33,0
3,"Operation/Personnel Violations",628,40,33,7,30,0.123519458544839
3,"Search-Related",112,3,0,0,16,0.03125
3,"Supervisory Responsibilities",11,0,1,0,0,0.0909090909090909
3,"Traffic",35,0,0,0,1,0
3,"Verbal Abuse",26,0,0,0,0,0
4,"Alcohol Abuse",15,10,1,2,1,0.916666666666667
4,"Arrest/Lock-up Procedures",60,1,0,0,1,0.0169491525423729
4,"Bribery / Official Corruption",4,1,0,0,0,0.25
4,"Conduct Unbecoming (Off-duty)",17,4,4,0,2,0.533333333333333
4,"Criminal Misconduct",3,1,0,0,1,0.5
4,"Drug/Substance Abuse",14,1,6,0,2,0.583333333333333
4,"First Amendment and Illegal Arrest",112,0,0,0,8,0
4,"Operation/Personnel Violations",265,19,16,4,19,0.144628099173554
4,"Search-Related",12,0,0,0,4,0
4,"Supervisory Responsibilities",2,0,0,0,0,0
4,"Traffic",9,0,0,0,1,0
4,"Verbal Abuse",5,0,0,0,0,0
5,"Arrest/Lock-up Procedures",201,1,3,0,8,0.0207253886010363
5,"Bribery / Official Corruption",2,0,0,0,0,0
5,"Conduct Unbecoming (Off-duty)",8,2,0,0,1,0.285714285714286
5,"Criminal Misconduct",4,0,0,0,0,0
5,"First Amendment and Illegal Arrest",511,0,0,2,30,0
5,"Operation/Personnel Violations",463,10,8,2,32,0.041958041958042
5,"Search-Related",65,7,0,0,2,0.111111111111111
5,"Supervisory Responsibilities",14,0,1,0,0,0.0714285714285714
5,"Traffic",30,0,0,0,2,0
5,"Verbal Abuse",16,0,0,0,0,0
6,"Arrest/Lock-up Procedures",332,1,3,1,9,0.0124223602484472
6,"Conduct Unbecoming (Off-duty)",17,2,1,0,2,0.2
6,"Criminal Misconduct",6,0,0,0,1,0
6,"Drug/Substance Abuse",3,0,0,0,1,0
